scope,horizon,evaluation_mode,fold,specification,sample_count,coverage,balanced_accuracy,macro_f1,down_precision,down_recall,mean_return_predicted_down,mean_return_predicted_neutral,mean_return_predicted_up
all,5,non_overlapping,1,ridge_decay_only,4074,1.0,0.33473877759394277,0.2822192376771571,0.3305439330543933,0.051232166018158234,0.008488612361059194,0.00019367730522268874,0.002753856230849111
all,5,non_overlapping,1,ridge_decay_volume,4074,1.0,0.3328644710142713,0.2776236797516178,0.3160377358490566,0.04345006485084306,0.012082632068676302,0.00047580269106986994,0.0024415560609442628
all,5,non_overlapping,2,logistic_decay_market,3865,1.0,0.35935967451217105,0.25740793894184233,0.31983071342200725,0.8679245283018868,0.00891181529818585,0.0008187103937425451,0.014683252098733763
all,5,non_overlapping,2,majority_baseline,3865,1.0,0.3333333333333333,0.2064654402571888,0.0,0.0,,,0.008215410519810411
all,5,non_overlapping,2,ridge_current,3865,1.0,0.31706911340125,0.23155290411204232,0.31863636363636366,0.5750615258408531,0.006909231970977131,0.009003186961451536,0.05938851057760443
all,5,non_overlapping,2,ridge_decay_market,3865,1.0,0.33384156569559775,0.24571441498176236,0.31190377436748234,0.6168990976210008,0.008925016533222379,0.0059954368971693985,0.03695424401928729
all,5,non_overlapping,2,ridge_decay_only,3865,1.0,0.31670629096483416,0.22837886179699052,0.30994403788204905,0.5906480721903199,0.008280563311501244,0.007471372646895292,0.05726919589376087
all,5,non_overlapping,2,ridge_decay_volume,3865,1.0,0.3149359192039555,0.2272150758039292,0.30956112852664575,0.6480721903199343,0.007537968951804904,0.008235254566366822,0.05831689128464577
all,5,non_overlapping,3,logistic_decay_market,3840,1.0,0.39410535959004916,0.35476342002459865,0.5103448275862069,0.14471968709256844,-0.012766703342769987,-0.0005526372818861996,0.002183693950917733
all,5,non_overlapping,3,majority_baseline,3840,1.0,0.3333333333333333,0.1956455075130328,0.0,0.0,,,-0.00024244441628971553
all,5,non_overlapping,3,ridge_current,3840,1.0,0.3579528478425415,0.23415970457308258,0.5833333333333334,0.0045632333767926985,-0.011331744948314007,0.0005672059871423143,-0.0017127864324991292
all,5,non_overlapping,3,ridge_decay_market,3840,1.0,0.34959785462119575,0.2263930589025266,0.375,0.009778357235984355,0.00883106364565692,-0.0003783390222237154,-0.0002433705261187586
all,5,non_overlapping,3,ridge_decay_only,3840,1.0,0.35567892850257893,0.23249773073706406,0.5882352941176471,0.00651890482398957,-0.01206854538154917,0.001240010192397934,-0.0030040738546544513
all,5,non_overlapping,3,ridge_decay_volume,3840,1.0,0.3492364503017833,0.22917087421417373,0.4642857142857143,0.00847457627118644,5.008969259199089e-05,0.00033400147137710266,-0.0014389910357246647
all,5,non_overlapping,4,logistic_decay_market,3648,1.0,0.37038868237695466,0.3700012860489948,0.38222222222222224,0.4479166666666667,0.013615605213127201,0.00010782545032638296,0.0089352166345873
all,5,non_overlapping,4,majority_baseline,3648,1.0,0.3333333333333333,0.2052741415291216,0.0,0.0,,,0.00944841490854722
all,5,non_overlapping,4,ridge_current,3648,1.0,0.3547352086271387,0.1971152284197736,0.5365853658536586,0.01636904761904762,0.004283905042648198,0.007646298242327893,0.02088491701857045
all,5,non_overlapping,4,ridge_decay_market,3648,1.0,0.3357917232466067,0.24149598833061425,0.38533834586466165,0.15252976190476192,0.0034234053379260687,0.011538262555089315,0.004692175236135461
all,5,non_overlapping,4,ridge_decay_only,3648,1.0,0.35116987467817934,0.19927093911970437,0.45454545454545453,0.018601190476190476,0.01089580584336257,0.008371545058462975,0.015299491804236018
all,5,non_overlapping,4,ridge_decay_volume,3648,1.0,0.345207953333279,0.20173759561063495,0.40384615384615385,0.015625,0.014662050110499212,0.00882227662208644,0.011782641715676079
semiconductor_ai,5,overlapping,0,logistic_decay_market,8756,1.0,0.3213364764921972,0.3144757571781452,0.35816876122082586,0.47741549506431347,0.01625671895309553,0.009889400805072722,0.008057648142681513
semiconductor_ai,5,overlapping,0,majority_baseline,8756,1.0,0.33076869618897736,0.3071256542188379,0.372003618272275,0.4920729883338319,0.009658319059165829,,0.015037353182212342
semiconductor_ai,5,overlapping,0,ridge_current,8756,1.0,0.3245576516410244,0.31980817290705804,0.3633507853403141,0.4151959317977864,0.013501610651308582,0.01336022166802713,0.01033314748591061
semiconductor_ai,5,overlapping,0,ridge_decay_market,8756,1.0,0.31706058594880654,0.313340855965631,0.3470948012232416,0.40741848638947054,0.01811479616959364,0.013510957657726417,0.005032852895738351
semiconductor_ai,5,overlapping,0,ridge_decay_only,8756,1.0,0.3208716031733733,0.3154101866774663,0.35342261904761907,0.42626383487885133,0.01598044426014886,0.012683365691036851,0.0074817247529323895
semiconductor_ai,5,overlapping,0,ridge_decay_volume,8756,1.0,0.3179455822647468,0.31385930399112244,0.350210970464135,0.397247980855519,0.016562024687017167,0.012941071974214905,0.0071746851785988025
semiconductor_ai,5,overlapping,1,logistic_decay_market,2222,1.0,0.3318554529114453,0.3247477402481083,0.43356643356643354,0.3182751540041068,0.004240170339378953,0.014820847816653103,-0.002818622764585197
semiconductor_ai,5,overlapping,1,majority_baseline,2222,1.0,0.3333333333333333,0.2031706299541093,0.4383438343834383,1.0,0.0010325436238039973,,
semiconductor_ai,5,overlapping,1,ridge_current,2222,1.0,0.35704145425811173,0.3523028910325909,0.4636118598382749,0.3531827515400411,0.000953660400528956,0.0007926591050372463,0.0011602683845437988
semiconductor_ai,5,overlapping,1,ridge_decay_market,2222,1.0,0.33645540394175644,0.3271823185368275,0.4026946107784431,0.27618069815195073,0.013748144707987166,-0.011282641064719497,-0.0032496029652997597
semiconductor_ai,5,overlapping,1,ridge_decay_only,2222,1.0,0.33219572395462615,0.3293754849390541,0.4255050505050505,0.3459958932238193,0.006899168784565094,-0.003910056844791939,-0.001793315985727778
semiconductor_ai,5,overlapping,1,ridge_decay_volume,2222,1.0,0.3459862181690698,0.3380732145287772,0.4317507418397626,0.29876796714579057,0.008341254028265403,-0.003296522375342182,-0.0019160221000145792
semiconductor_ai,5,overlapping,2,logistic_decay_market,2200,1.0,0.3332798019768059,0.1585623956881442,0.3051621745089082,0.9955290611028316,0.018361151011425082,0.023749043097078926,0.019413033037238306
semiconductor_ai,5,overlapping,2,majority_baseline,2200,1.0,0.3333333333333333,0.1558109833971903,0.305,1.0,0.01837035224888128,,
semiconductor_ai,5,overlapping,2,ridge_current,2200,1.0,0.3304641640383206,0.16639220622371817,0.30438842203548083,0.9716840536512668,0.018150290175636175,0.02833658663011542,0.01766972330805878
semiconductor_ai,5,overlapping,2,ridge_decay_market,2200,1.0,0.3346277302384515,0.17851238805309297,0.3064516129032258,0.96274217585693,0.018334128095836944,0.01542021851320879,0.0421719737670031
semiconductor_ai,5,overlapping,2,ridge_decay_only,2200,1.0,0.3315479056258606,0.16583100947330526,0.30654205607476637,0.977645305514158,0.01816247910677509,0.030439538153174496,0.00504838995768791
semiconductor_ai,5,overlapping,2,ridge_decay_volume,2200,1.0,0.331284959602598,0.16899233488293575,0.30711257654262836,0.9716840536512668,0.018251379066775972,0.01986716375600334,0.02845001247857598
semiconductor_ai,5,overlapping,3,logistic_decay_market,2222,1.0,0.3704419476114746,0.35581742229211755,0.4908722109533469,0.26275787187839306,-0.0026330220545985423,0.0036041703699393407,0.0088151860136532
semiconductor_ai,5,overlapping,3,majority_baseline,2222,1.0,0.3333333333333333,0.20762317942361327,0.0,0.0,,,0.005749824140637892
semiconductor_ai,5,overlapping,3,ridge_current,2222,1.0,0.3786737549450856,0.3281168978565622,0.49794238683127573,0.13137893593919653,-0.0075957416002974025,0.0003318726794157178,0.011685611229664465
semiconductor_ai,5,overlapping,3,ridge_decay_market,2222,1.0,0.3681889544267394,0.32574635645081534,0.4808362369337979,0.1498371335504886,-0.0024911266940909854,0.005209900475455003,0.007922633316899774
semiconductor_ai,5,overlapping,3,ridge_decay_only,2222,1.0,0.3910521233956987,0.3398445656382338,0.4738675958188153,0.1476655808903366,-0.0019159571686493439,-3.6166263260873895e-05,0.010980256982881848
semiconductor_ai,5,overlapping,3,ridge_decay_volume,2222,1.0,0.3745031810457937,0.3230396583024005,0.4431818181818182,0.1270358306188925,0.0015082876003186664,-0.0007905157876406386,0.010624034397780376
semiconductor_ai,5,overlapping,4,logistic_decay_market,2112,1.0,0.3202290809652773,0.3024329246455792,0.3550519357884797,0.4839124839124839,0.028813728207030504,0.059741198002743856,0.020482403536788166
semiconductor_ai,5,overlapping,4,majority_baseline,2112,1.0,0.3333333333333333,0.23383543395839737,0.0,0.0,,,0.02480860769470213
semiconductor_ai,5,overlapping,4,ridge_current,2112,1.0,0.3200066579043241,0.30553915083100713,0.39105339105339104,0.3487773487773488,0.019965916772678047,0.03589920761819594,0.02079972410298248
semiconductor_ai,5,overlapping,4,ridge_decay_market,2112,1.0,0.31917623777721177,0.3018139868210851,0.3588850174216028,0.39768339768339767,0.02783427507517985,0.03646367220389313,0.013998854797894091
semiconductor_ai,5,overlapping,4,ridge_decay_only,2112,1.0,0.3133763614441623,0.29886550113380506,0.3640836408364084,0.38095238095238093,0.02540121033019475,0.038518702734176444,0.01551090474809765
semiconductor_ai,5,overlapping,4,ridge_decay_volume,2112,1.0,0.31255005197197344,0.29507864126396594,0.36662106703146374,0.34491634491634493,0.024672129566167846,0.03701981316239466,0.016091087520790633
semiconductor_ai,5,non_overlapping,0,logistic_decay_market,1760,1.0,0.32779950587805856,0.316300285952456,0.3607800650054171,0.5099540581929556,0.014215587647108318,0.011068572911275852,0.014493117505136236
semiconductor_ai,5,non_overlapping,0,majority_baseline,1760,1.0,0.3309003935516804,0.3051214698843363,0.3625277161862528,0.5007656967840735,0.01201411752913995,,0.01644147287336636
semiconductor_ai,5,non_overlapping,0,ridge_current,1760,1.0,0.32348504571626485,0.3194189468424657,0.3583662714097497,0.4165390505359878,0.0138989033634945,0.010834082506241438,0.016494901477521452
semiconductor_ai,5,non_overlapping,0,ridge_decay_market,1760,1.0,0.31876140832302546,0.3134690603614602,0.3426829268292683,0.43032159264931086,0.01834086202884292,0.012212067683522619,0.0097075641071635
semiconductor_ai,5,non_overlapping,0,ridge_decay_only,1760,1.0,0.30896859089537704,0.30417600718857546,0.34596577017114916,0.4333843797856049,0.015450145124581764,0.010327574478803022,0.014600748385423662
semiconductor_ai,5,non_overlapping,0,ridge_decay_volume,1760,1.0,0.30797118556066994,0.3053935721671401,0.34411384217335056,0.40735068912710565,0.016206922159890644,0.009851426044711224,0.014097813112388079
semiconductor_ai,5,non_overlapping,1,logistic_decay_market,462,1.0,0.32412872953548516,0.32091620359776785,0.4303030303030303,0.36787564766839376,-0.002029885628805228,0.03206334741580654,0.00504874713019974
semiconductor_ai,5,non_overlapping,1,majority_baseline,462,1.0,0.3333333333333333,0.1964376590330789,0.41774891774891776,1.0,0.00521042939838609,,
semiconductor_ai,5,non_overlapping,1,ridge_current,462,1.0,0.3614701624459729,0.3568510899448358,0.4520547945205479,0.34196891191709844,0.0017777485863790304,-0.008751847689632683,0.013994684525029182
