scope,horizon,sample_mode,fold,specification,sample_count,coverage,balanced_accuracy,macro_f1,down_precision,down_recall,mean_return_predicted_down,mean_return_predicted_neutral,mean_return_predicted_up
all,5,non_overlapping,5,logistic_time_group,16805,1.0,0.4008910642294767,0.3708610661193551,0.4180709931875224,0.3463023463023463,0.0104435549640998,0.0004713954036146,0.0072767486050386
all,5,non_overlapping,5,logistic_time_group_ticker,16805,1.0,0.4055086935403492,0.3671717549532318,0.41460695038097,0.3313038313038313,0.0117614997012769,0.0001871695836319,0.0070529623912223
all,5,non_overlapping,5,majority_baseline,16805,1.0,0.3333333333333333,0.2034127246664461,0.0,0.0,,,0.006133412506992
all,5,non_overlapping,5,ridge_current,16805,1.0,0.3833457286054684,0.2917553072979932,0.409307875894988,0.1018711018711018,0.006997980986147,0.002169805160065,0.013026279887448
all,20,overlapping,0,logistic_global,381086,1.0,0.3864757913515711,0.3469434653221533,0.3841212765777856,0.318976091512522,0.0378184484656532,0.0088793268969324,0.0252264063079397
all,20,overlapping,0,logistic_group,381086,1.0,0.3879260689369804,0.3536005545186305,0.3853752598013261,0.3418051573922856,0.0368533952118443,0.0083310506892325,0.0245197694452631
all,20,overlapping,0,logistic_time,381086,1.0,0.3885855562042,0.3431005155361291,0.3882829249126643,0.3186326391858077,0.0380651315735138,0.0093726438799592,0.025830448993343
all,20,overlapping,0,logistic_time_group,381086,1.0,0.3906018541843459,0.3507185515509201,0.3895784011287275,0.3425621543572885,0.0369639974515621,0.0089706306151545,0.0249634784342964
all,20,overlapping,0,logistic_time_group_ticker,381086,1.0,0.3961677198396305,0.3523128038836833,0.3979685545545228,0.3523470410530669,0.0376235448114879,0.0092917430584717,0.0243345195980931
all,20,overlapping,0,majority_baseline,381086,1.0,0.3333333333333333,0.2122853204752161,0.0,0.0,,,0.0229784794387481
all,20,overlapping,0,ridge_current,381086,1.0,0.3459234730221103,0.3297423288262247,0.3476255622577369,0.2350966222515052,0.0169908601101306,0.0146605543298972,0.0319553102627852
all,20,overlapping,1,logistic_global,66607,1.0,0.3790477165898623,0.3416292615014171,0.3179994824016563,0.4693244211028885,0.0394456858182869,0.0086898628958686,0.0403145788498196
all,20,overlapping,1,logistic_group,66607,1.0,0.381783262326935,0.3488459707552771,0.3210576324497887,0.4678443542611601,0.0393993060005594,0.0065979264095982,0.0411697267918107
all,20,overlapping,1,logistic_time,66607,1.0,0.3761624471007696,0.3408452319305594,0.3180721341012194,0.4719980902363332,0.0377885508222884,0.0099193489150096,0.0411438314490603
all,20,overlapping,1,logistic_time_group,66607,1.0,0.3792446372025561,0.347688734931301,0.3207467119219346,0.4692289329195512,0.0377076352072126,0.0085033028812645,0.0415378156130751
all,20,overlapping,1,logistic_time_group_ticker,66607,1.0,0.393550484602432,0.3561682576520629,0.3328520352035203,0.4622582955359274,0.0368661018775429,0.0095266809770278,0.044760631317421
all,20,overlapping,1,majority_baseline,66607,1.0,0.3333333333333333,0.2290960451977401,0.0,0.0,,,0.0306238512961695
all,20,overlapping,1,ridge_current,66607,1.0,0.348434484196251,0.3434257297746683,0.3180805176132279,0.422487467175937,0.0209176344312645,0.0106260494740564,0.0425435664893777
all,20,overlapping,2,logistic_global,74196,1.0,0.3804962250134338,0.3499337059038385,0.396332529892717,0.2932577982934676,0.0207452492300413,0.0108027452938884,0.0138964150715662
all,20,overlapping,2,logistic_group,74196,1.0,0.3816897680371949,0.35652287652691,0.3927080434177567,0.2960553923625681,0.0230714456214945,0.0102797643172855,0.0122261485264837
all,20,overlapping,2,logistic_time,74196,1.0,0.3788661780080542,0.3384256146495349,0.3929214157168566,0.2519583158483704,0.0165948392830588,0.0115170625425079,0.017121195143984
all,20,overlapping,2,logistic_time_group,74196,1.0,0.3806248490790112,0.3471716015008801,0.3871612733491186,0.2573087145055252,0.0188366217405086,0.0107451365126578,0.0157478284139171
all,20,overlapping,2,logistic_time_group_ticker,74196,1.0,0.3891038513377813,0.3498294944844993,0.4035206499661476,0.2709469855923905,0.0237097165964648,0.010447966264093,0.0128842165285064
all,20,overlapping,2,majority_baseline,74196,1.0,0.3333333333333333,0.2050765210899589,0.0,0.0,,,0.0147487319910592
