scope,horizon,sample_mode,fold,specification,sample_count,balanced_accuracy,macro_f1,down_precision,down_recall,down_coverage,mean_return_predicted_down,median_return_predicted_down,mean_mae_predicted_down
semiconductor,5,non_overlapping,1,ridge_current,3045,0.363023862328566,0.3569335890097746,0.40182969739619984,0.4969538729329852,0.4666666666666667,0.0034993218354975038,0.0,-0.04329558941892804
semiconductor,5,non_overlapping,2,logistic_global,3264,0.39231634711863445,0.3785440892562512,0.44683026584867075,0.332572298325723,0.29963235294117646,0.00018977001940688514,-0.0004230561852386905,-0.06008485716457911
semiconductor,5,non_overlapping,2,logistic_regime_prior,3264,0.382167896474692,0.3621531620945846,0.4257932446264074,0.3165905631659056,0.29932598039215685,0.002366649974126807,0.0012484394506866447,-0.05665263674685146
semiconductor,5,non_overlapping,2,majority_baseline,3264,0.3333333333333333,0.2012121212121212,0.0,0.0,0.0,,,
semiconductor,5,non_overlapping,2,ridge_current,3264,0.3568474340511494,0.3513317735291153,0.40835030549898166,0.3051750380517504,0.3008578431372549,0.004439394853864281,0.001180393251483447,-0.048022499302233276
semiconductor,5,non_overlapping,3,logistic_global,3416,0.38598926767894204,0.37214253092243804,0.4837310195227766,0.3123249299719888,0.26990632318501173,-0.003397173323831026,-0.007408769709845164,-0.06140681695228899
semiconductor,5,non_overlapping,3,logistic_regime_prior,3416,0.37387602954837557,0.35012166409708684,0.4685099846390169,0.21358543417366946,0.19057377049180327,-0.001760972325264318,-0.006907391546243424,-0.06021641372245702
semiconductor,5,non_overlapping,3,majority_baseline,3416,0.3333333333333333,0.20669225072375952,0.0,0.0,0.0,,,
semiconductor,5,non_overlapping,3,ridge_current,3416,0.33911802340569364,0.3124964479921468,0.45073891625615764,0.25630252100840334,0.23770491803278687,-0.0032361857529920324,-0.0036486518107478605,-0.04873045401859311
semiconductor,5,non_overlapping,4,logistic_global,3575,0.388388734866175,0.3651258509679715,0.46254071661237783,0.38718473074301296,0.3434965034965035,-0.0007863063487174129,-0.0029747458736614774,-0.06663495119203672
semiconductor,5,non_overlapping,4,logistic_regime_prior,3575,0.3798632329346852,0.34363235968476397,0.44684252597921664,0.38104976141785957,0.3499300699300699,0.00320386555125545,-0.0007678006149663963,-0.06630265970407051
semiconductor,5,non_overlapping,4,majority_baseline,3575,0.3333333333333333,0.20665251238499646,0.0,0.0,0.0,,,
semiconductor,5,non_overlapping,4,ridge_current,3575,0.3444577740236521,0.29200642795274,0.4078014184397163,0.15678254942058623,0.15776223776223777,-0.0015717333061806332,0.00047851028375711646,-0.05304504488623025
semiconductor,5,non_overlapping,5,logistic_global,3628,0.3668968183745294,0.34696631375619713,0.41404358353510895,0.5912863070539419,0.5691841234840133,0.019435369725276503,0.007303370786516883,-0.06864581259161519
semiconductor,5,non_overlapping,5,logistic_regime_prior,3628,0.38296988424564854,0.3485570167243068,0.4224965706447188,0.6390041493775933,0.6028114663726571,0.016707095648912252,0.006958333333333178,-0.06894191160665762
semiconductor,5,non_overlapping,5,majority_baseline,3628,0.3333333333333333,0.2181840657642623,0.0,0.0,0.0,,,
semiconductor,5,non_overlapping,5,ridge_current,3628,0.3650394865187628,0.30396720630087803,0.42828685258964144,0.14868603042876902,0.13836824696802646,0.01405665293218733,-2.280293701834024e-05,-0.05568787910746419
software,5,overlapping,0,logistic_global,151874,0.403417655756328,0.36327413697761496,0.4275502814828658,0.30374390122473366,0.28187181479384227,0.008570713778840453,0.0023050426044390893,-0.06453399452508343
software,5,overlapping,0,logistic_regime_prior,151874,0.4028989131122523,0.3620625167705074,0.4313909322563585,0.2978027813734276,0.27389809974057444,0.008352139629437831,0.001492332786618089,-0.06443378059671273
software,5,overlapping,0,majority_baseline,151874,0.3333333333333333,0.20245229067423476,0.0,0.0,0.0,,,
software,5,overlapping,0,ridge_current,151874,0.35325164453362107,0.3235084563800347,0.3763492107992935,0.22277539911712968,0.23485915956648273,0.004199113138185403,0.002680965147452863,-0.0442916443080004
software,5,overlapping,1,logistic_global,23626,0.3814588634224913,0.34297866956596285,0.35928071445812215,0.35785551147974515,0.350715313637518,0.01408906471692633,0.00928500179649061,-0.055343067781540106
software,5,overlapping,1,logistic_regime_prior,23626,0.37594114009630997,0.33171684601954854,0.36262626262626263,0.34523380213968025,0.33522390586641837,0.01285158571194056,0.008348628698621186,-0.05447934331724136
software,5,overlapping,1,majority_baseline,23626,0.3333333333333333,0.21156346615042332,0.0,0.0,0.0,,,
software,5,overlapping,1,ridge_current,23626,0.352298053170437,0.35023477293748884,0.3578524836929252,0.42865729053972834,0.42178108863116903,0.005468908895789734,0.0050662551699647285,-0.043929997768019535
software,5,overlapping,2,logistic_global,29151,0.40882085705492627,0.3682740694389976,0.4311571782178218,0.23959766162310867,0.22174196425508558,0.007778640985085409,0.0005336149860006856,-0.06484188181667959
