scope,horizon,regime,regime_version,regime_start,regime_end,specification,sample_count,coverage,balanced_accuracy,macro_f1,down_precision,down_recall,mean_return_predicted_down,mean_return_predicted_neutral,mean_return_predicted_up,return_mae,rank_ic,sample_mode,accuracy,up_precision,up_recall,fold_win_rate_vs_ridge_current,comparable_fold_count
all,5,uptrend,market_regime_v1,2019-09-18,2026-07-10,ridge_decay_market,37311,1.0,0.3539940990675034,0.3335556085160694,0.38503319251659623,0.307131559039956,0.006126218668567708,0.003020009628110307,0.0066185081375443626,0.06317617166879248,-0.009179424268259417,non_overlapping,0.3371391814746321,0.4340739469846444,0.32192390889426137,0.0,4
all,5,uptrend,market_regime_v1,2019-09-18,2026-07-10,ridge_decay_only,37311,1.0,0.354848822984446,0.3353719631683643,0.3828212410706601,0.30589367993948147,0.006133131635127032,0.002798381784348008,0.0067838922514693225,0.06287207059666397,-0.008919783012221936,non_overlapping,0.3394441317573906,0.43631481792247023,0.3308308945158417,0.25,4
all,5,uptrend,market_regime_v1,2019-09-18,2026-07-10,ridge_decay_volume,37311,1.0,0.3545094127270963,0.3338441811226021,0.3858104609010875,0.3074066432845059,0.006086777862579624,0.0030440586790158783,0.006639861394424308,0.06315758836526125,-0.008335834285992086,non_overlapping,0.3373535954544236,0.4342331499312242,0.3213513169614455,0.25,4
all,20,acute_selloff,market_regime_v1,2020-02-25,2025-04-08,logistic_decay_market,10720,1.0,0.3508145751556406,0.2857200626881376,0.5474308300395256,0.07599451303155007,-0.02545003512652505,-0.05904475777769554,0.04619226368989201,,,overlapping,0.5468283582089553,0.5477619281849484,0.9633217993079585,0.5,4
all,20,acute_selloff,market_regime_v1,2020-02-25,2025-04-08,majority_baseline,10720,1.0,0.3333333333333333,0.2335353535353535,0.0,0.0,,,0.04232961282673727,,,overlapping,0.539179104477612,0.539179104477612,1.0,0.25,4
all,20,acute_selloff,market_regime_v1,2020-02-25,2025-04-08,ridge_current,10720,1.0,0.3793680503642484,0.35531594272820105,0.3451104100946372,0.15006858710562415,0.019693969417824003,0.001517915204399119,0.05806867659684225,0.16546556336251453,0.18776291010799134,overlapping,0.47229477611940296,0.5771412757714127,0.7216262975778547,,0
all,20,acute_selloff,market_regime_v1,2020-02-25,2025-04-08,ridge_decay_market,10720,1.0,0.3591702511541035,0.3510664210087419,0.32217090069284066,0.22962962962962963,0.038896973075689324,0.009869364436294353,0.05213330233370478,0.22273079721930622,0.10742808482141118,overlapping,0.44057835820895525,0.5571406419599938,0.6216262975778547,0.0,4
all,20,acute_selloff,market_regime_v1,2020-02-25,2025-04-08,ridge_decay_only,10720,1.0,0.35078229337275,0.33660653220405773,0.28893058161350843,0.16899862825788753,0.048741908807260884,0.010553419798032034,0.04783559018492175,0.22308193747234567,0.0886000352954914,overlapping,0.4390858208955224,0.5462390335107148,0.6570934256055363,0.0,4
all,20,acute_selloff,market_regime_v1,2020-02-25,2025-04-08,ridge_decay_volume,10720,1.0,0.36328616167353406,0.35162571365283884,0.31660061646851606,0.19725651577503428,0.041944502948066814,0.011400043873804926,0.049755589897471676,0.22569161644605823,0.10999236377069935,overlapping,0.449160447761194,0.5542715038033939,0.6555363321799308,0.0,4
all,20,correction,market_regime_v1,2020-03-02,2026-03-31,logistic_decay_market,57645,1.0,0.33026945943609437,0.2511237616210188,0.2587920489296636,0.03249807987711213,0.09137918556110086,0.010710852246601326,0.029733870315488006,,,overlapping,0.49386763812993323,0.5059389813137136,0.9381660218556981,0.25,4
all,20,correction,market_regime_v1,2020-03-02,2026-03-31,majority_baseline,57645,1.0,0.3333333333333333,0.22550538967524192,0.0,0.0,,,0.032402708335015414,,,overlapping,0.5111631537861046,0.5111631537861046,1.0,0.0,4
all,20,correction,market_regime_v1,2020-03-02,2026-03-31,ridge_current,57645,1.0,0.3585723338843761,0.3349090446029395,0.3454748028796709,0.19350038402457756,0.018824960227249003,0.017729121619082154,0.04526507261266587,0.14421443108754464,0.08555979615482749,overlapping,0.3959580189088386,0.5421431876776625,0.5566415529763117,,0
all,20,correction,market_regime_v1,2020-03-02,2026-03-31,ridge_decay_market,57645,1.0,0.35216614577719946,0.3387888214228827,0.3476746568326163,0.24438364055299538,0.026729140075403703,0.018833863689803394,0.041543236729422554,0.15312797962544183,0.05580637824228158,overlapping,0.39632231763379305,0.5350231670754975,0.5329532342360687,0.0,4
all,20,correction,market_regime_v1,2020-03-02,2026-03-31,ridge_decay_only,57645,1.0,0.3529887151072481,0.33906665311157463,0.34631586216421517,0.24073540706605223,0.024812031988726307,0.01937342147116594,0.042174639756515295,0.15356926488910377,0.05607234277317951,overlapping,0.3970856102003643,0.535983178457573,0.5363469761759316,0.0,4
all,20,correction,market_regime_v1,2020-03-02,2026-03-31,ridge_decay_volume,57645,1.0,0.35138561416613684,0.33750911024300895,0.34647030353315356,0.24054339477726575,0.027643426245031293,0.019529598580588222,0.04074682865405362,0.15370525544742114,0.05017706063453657,overlapping,0.3949171654089687,0.5328080423855455,0.5324102355256907,0.0,4
all,20,range_bound,market_regime_v1,2019-12-03,2026-04-14,logistic_decay_market,31825,1.0,0.3513691622630322,0.3119837121687232,0.42517999610819224,0.1615287942633252,0.03208753487103213,-0.004172775823210623,0.011521516086772722,,,overlapping,0.4166535742340927,0.4263703464687613,0.7901188429628523,0.5,4
all,20,range_bound,market_regime_v1,2019-12-03,2026-04-14,majority_baseline,31825,1.0,0.3333333333333333,0.19731292216028082,0.0,0.0,,,0.013908930884784055,,,overlapping,0.42039277297721916,0.42039277297721916,1.0,0.5,4
all,20,range_bound,market_regime_v1,2019-12-03,2026-04-14,ridge_current,31825,1.0,0.34252813629908757,0.3133407661419852,0.37613269851021347,0.18104531677385968,0.01948110862686806,0.011678494468360947,0.012942560748763427,0.1325240900024873,-0.05198294137825805,overlapping,0.3415553809897879,0.42167240839336045,0.5031766200762389,,0
all,20,range_bound,market_regime_v1,2019-12-03,2026-04-14,ridge_decay_market,31825,1.0,0.34430826963195066,0.3211954635730982,0.3949126048031832,0.2054409699120278,0.018021839785811383,0.011439803028451693,0.013419200621324704,0.13750979012970405,-0.03799163282743116,overlapping,0.3516417910447761,0.4212528375973986,0.5131923163166155,0.75,4
all,20,range_bound,market_regime_v1,2019-12-03,2026-04-14,ridge_decay_only,31825,1.0,0.3420225652687769,0.32463320715085825,0.39524334927056515,0.23833813853773933,0.014978511340005295,0.01071663151450997,0.015087512725916602,0.1378811860763604,-0.0373213448631865,overlapping,0.3518303220738413,0.4238718116415958,0.48441587562598104,0.75,4
