variant,horizon,fold,group,regime,sample_count,support_hold_rate,support_break_rate,first_bounce_delay,maximum_favorable_excursion,maximum_adverse_excursion,final_return,eligible_count,unavailable_count,max_adverse_excursion,sample_mode,regime_scope,comparison_scope
no_retests,20,4,software,correction,31,0.41935483870967744,0.5806451612903226,4.5,0.08121521318448678,-0.06361209509004771,0.014341318476965938,65214,30391,-0.06361209509004771,non_overlapping,observed,all_eligible
no_retests,20,4,software,range_bound,57,0.3508771929824561,0.6491228070175439,4.7073170731707314,0.15265788136369576,-0.06890924222512769,0.09117005694624408,65214,30391,-0.06890924222512769,non_overlapping,observed,all_eligible
no_retests,20,4,software,under_pressure,162,0.3395061728395062,0.6604938271604939,3.1848739495798317,0.11557344797650654,-0.0919191961418021,0.014898372213577924,65214,30391,-0.0919191961418021,non_overlapping,observed,all_eligible
no_retests,20,4,software,uptrend,488,0.32991803278688525,0.6700819672131147,4.158441558441559,0.13261338891946284,-0.08420044294098056,0.03161365472206027,65214,30391,-0.08420044294098056,non_overlapping,observed,all_eligible
no_retests,20,5,other,acute_selloff,2,0.0,1.0,10.0,0.017055929126909897,-0.13321067503095435,-0.02954586346718374,73487,28572,-0.13321067503095435,non_overlapping,observed,all_eligible
no_retests,20,5,other,correction,55,0.2909090909090909,0.7090909090909091,4.1395348837209305,0.11072767684186506,-0.10426101599689575,0.01807572424732844,73487,28572,-0.10426101599689575,non_overlapping,observed,all_eligible
no_retests,20,5,other,range_bound,33,0.36363636363636365,0.6363636363636364,5.346153846153846,0.1158538422329736,-0.07102702661567355,0.02570494289043692,73487,28572,-0.07102702661567355,non_overlapping,observed,all_eligible
no_retests,20,5,other,under_pressure,191,0.3403141361256545,0.6596858638743456,3.5142857142857142,0.1000394342856283,-0.08755958902838512,0.004786912769186781,73487,28572,-0.08755958902838512,non_overlapping,observed,all_eligible
no_retests,20,5,other,uptrend,442,0.2828054298642534,0.7171945701357466,4.776729559748428,0.10968373954165923,-0.07713419500647029,0.031738809365324056,73487,28572,-0.07713419500647029,non_overlapping,observed,all_eligible
no_retests,20,5,semiconductor,acute_selloff,1,1.0,0.0,1.0,0.20151515151515142,-0.1433333333333333,0.025151515151515147,40225,16969,-0.1433333333333333,non_overlapping,observed,all_eligible
no_retests,20,5,semiconductor,correction,29,0.27586206896551724,0.7241379310344828,3.3333333333333335,0.18089890939006803,-0.14195449039501057,0.05955884978431877,40225,16969,-0.14195449039501057,non_overlapping,observed,all_eligible
no_retests,20,5,semiconductor,range_bound,11,0.7272727272727273,0.2727272727272727,3.1818181818181817,0.3128263627661706,-0.05121693010714546,0.24995925720362172,40225,16969,-0.05121693010714546,non_overlapping,observed,all_eligible
no_retests,20,5,semiconductor,under_pressure,92,0.391304347826087,0.6086956521739131,2.6578947368421053,0.2238432407928144,-0.1106251945140682,0.08269766541071888,40225,16969,-0.1106251945140682,non_overlapping,observed,all_eligible
no_retests,20,5,semiconductor,uptrend,295,0.31186440677966104,0.688135593220339,3.654008438818565,0.1931270731398414,-0.1076363627422405,0.06711385764892969,40225,16969,-0.1076363627422405,non_overlapping,observed,all_eligible
no_retests,20,5,software,acute_selloff,3,0.6666666666666666,0.3333333333333333,4.0,0.2708063567014755,-0.059498060646786345,0.17590888322146733,65214,30391,-0.059498060646786345,non_overlapping,observed,all_eligible
no_retests,20,5,software,correction,53,0.32075471698113206,0.6792452830188679,3.5,0.1813387120449202,-0.11177998972932819,0.0946331928894466,65214,30391,-0.11177998972932819,non_overlapping,observed,all_eligible
no_retests,20,5,software,range_bound,32,0.65625,0.34375,2.7,0.16008652999638978,-0.07701574581764012,0.03177570631877841,65214,30391,-0.07701574581764012,non_overlapping,observed,all_eligible
no_retests,20,5,software,under_pressure,151,0.2781456953642384,0.7218543046357616,3.4684684684684686,0.14436540242324608,-0.11994387352232733,0.010478685071981462,65214,30391,-0.11994387352232733,non_overlapping,observed,all_eligible
no_retests,20,5,software,uptrend,456,0.2741228070175439,0.7258771929824561,4.172205438066465,0.18274430614334788,-0.1037309119116235,0.04636833389592786,65214,30391,-0.1037309119116235,non_overlapping,observed,all_eligible
baseline,5,1,other,all,5222,0.5697050938337802,0.43029490616621985,1.7588206863218947,0.03145172874820495,-0.031151688039549888,0.0007648770060142175,151384,8303,-0.031151688039549888,non_overlapping,all,all_eligible
