ticker,name,exchange,request_status,quality_status,raw_rows,valid_rows,duplicate_dates,invalid_rows,first_date,last_date,post_2018_valid_rows,traded_since_2018,raw_bytes,suspicious_security_label
AUG,Fury Gold Mines Limited,NYSE MKT,success,clean,1260,1260,0,0,2016-01-05,2021-01-28,774,True,139314,False
BDR,Blonder Tongue Laboratories Inc,NYSE MKT,success,clean,1675,1675,0,0,2016-01-04,2022-08-26,1172,True,184208,False
BRD1,Ragan Brad Inc,NYSE MKT,empty,no_rows,0,0,0,0,,,0,False,3,False
BRG,Bluerock Residential Growth,NYSE MKT,success,clean,1702,1702,0,0,2016-01-04,2022-10-05,1199,True,191235,False
BRS,Bristow Group Inc,NYSE MKT,success,clean,847,847,0,0,2016-01-04,2019-05-17,344,True,95295,False
CHAQ,Chardan Healthcare Acquisition 2 Corp,NYSE MKT,success,clean,323,323,0,0,2020-06-22,2021-09-30,323,True,34919,False
CRCV,Chromcraft Revington Inc,NYSE MKT,empty,no_rows,0,0,0,0,,,0,False,3,False
CRRR1,Corriente Resources Inc,NYSE MKT,empty,no_rows,0,0,0,0,,,0,False,3,False
CTB,Cooper Tire & Rubber Company,NYSE MKT,success,clean,1367,1367,0,0,2016-01-04,2021-06-08,864,True,155916,False
CTK1,Comptek Research Inc,NYSE MKT,empty,no_rows,0,0,0,0,,,0,False,3,False
DMF,Bny Mellon Municipal Income Inc,NYSE MKT,success,clean,2380,2380,0,0,2016-01-04,2025-06-20,1877,True,259253,False
DMYY-WT,dMY Squared Technology Group Inc.,NYSE MKT,success,clean,364,364,0,0,2022-11-29,2025-09-29,364,True,39568,False
DRY,Coinmach Service Corp,NYSE MKT,empty,no_rows,0,0,0,0,,,0,False,3,False
DUNR,Dune Energy Inc,NYSE MKT,empty,no_rows,0,0,0,0,,,0,False,3,False
ECR,Eclipse Resources Corporation,NYSE MKT,success,clean,795,795,0,0,2016-01-04,2019-06-28,292,True,86668,False
EOCC,Enel Generación Chile S.A,NYSE MKT,success,clean,753,753,0,0,2016-01-04,2018-12-28,250,True,85546,False
EXN,Excellon Resources Inc.,NYSE MKT,success,clean,1824,1824,0,0,2016-01-04,2023-04-03,1322,True,202732,False
FPP-WS,Fieldpoint Petroleum Corp,NYSE MKT,success,clean,479,479,0,0,2016-01-04,2017-11-24,0,False,54007,False
FTL-A,Fruit Of The Loom Inc,NYSE MKT,empty,no_rows,0,0,0,0,,,0,False,3,False
GXYF,Galaxy Nutritional Foods Inc,NYSE MKT,empty,no_rows,0,0,0,0,,,0,False,3,False
HGC,Hudson General Corp,NYSE MKT,empty,no_rows,0,0,0,0,,,0,False,3,False
HTZ-R-W,Hertz Global Holdings Inc Rights expiring July 12 2019 When Issued,NYSE MKT,success,clean,1213,1213,0,0,2016-01-04,2020-11-02,715,True,138724,False
ID,PARTS iD Inc,NYSE MKT,success,clean,1566,1566,0,0,2017-12-01,2024-02-23,1546,True,170434,False
IHK,Imperial Sugar Co,NYSE MKT,empty,no_rows,0,0,0,0,,,0,False,3,False
IMUC-WS,ImmunoCellular Therapeutics Ltd. Warrants,NYSE MKT,success,clean,1481,1481,0,0,2016-01-04,2021-12-17,978,True,166440,True
IPVF-WS,IPVF-WS,NYSE MKT,success,clean,143,143,0,0,2021-04-26,2021-12-20,143,True,15221,True
LNFA,L&F Acquisition Corp.,NYSE MKT,success,clean,396,396,0,0,2021-01-07,2022-08-03,396,True,43501,False
MG1,Morgan Group Inc,NYSE MKT,empty,no_rows,0,0,0,0,,,0,False,3,False
MIMOQ,Airspan Networks Holdings Inc,NYSE MKT,success,warning,979,974,0,5,2020-11-19,2024-10-11,974,True,106972,False
MXA,Minnesota Municipal Income Portfolio Inc,NYSE MKT,empty,no_rows,0,0,0,0,,,0,False,3,False
NWY,New York & Company Inc,NYSE MKT,success,clean,727,727,0,0,2016-01-04,2018-11-19,224,True,77686,False
