scope,horizon,specification,sample_count,coverage,balanced_accuracy,macro_f1,down_precision,down_recall,mean_return_predicted_down,mean_return_predicted_neutral,mean_return_predicted_up,return_mae,rank_ic,sample_mode,accuracy,up_precision,up_recall,fold_win_rate_vs_ridge_current
semiconductor,20,ridge_decay_market,80536,1.0,0.34583250145899513,0.2705933926811756,0.298731053930208,0.05516500683460262,0.026925845081181413,0.0257652136251066,0.042284674487087726,0.126866357015369,0.014466719264789436,overlapping,0.32818863613787624,0.49504105255228864,0.5005204234469802,0.25
semiconductor,20,ridge_decay_only,80536,1.0,0.3500971274370244,0.268751337154647,0.30324543610547666,0.04865586148538697,0.027908345843404462,0.024954174391313592,0.04311904083548863,0.1264251169031356,0.015395493948060076,overlapping,0.3268600377470945,0.4969778545306786,0.4967886065344876,0.25
semiconductor,20,ridge_decay_volume,80536,1.0,0.3478435238161577,0.2732248899556058,0.31164200392226776,0.05688993035214476,0.024528591908017497,0.025517771033472917,0.042697750439537864,0.12659393407989888,0.018646082561437356,overlapping,0.33185159431806893,0.49758478163438075,0.5073240080221371,0.5
semiconductor,20,logistic_decay_market,4123,1.0,0.33403916647332393,0.3277919688490411,0.36229205175600737,0.3757188498402556,0.025503872767100203,0.029431876094375194,0.039318292796187766,,,non_overlapping,0.42008246422507883,0.47920277296360486,0.5619918699186992,0.5
semiconductor,20,majority_baseline,4123,1.0,0.3333333333333333,0.2153997701526843,0.0,0.0,,,0.03341991886605021,,,non_overlapping,0.4773223381033228,0.4773223381033228,1.0,0.25
semiconductor,20,ridge_current,4123,1.0,0.3473301914951786,0.271440132398271,0.3218390804597701,0.0536741214057508,0.02052096299785114,0.0247959862940823,0.04309551477439171,0.12111834807271511,0.0008031991240022835,non_overlapping,0.3233082706766917,0.4745508982035928,0.48323170731707316,
semiconductor,20,ridge_decay_market,4123,1.0,0.33881288537393955,0.27092265516505787,0.3076923076923077,0.06134185303514377,0.022220490423509896,0.02679265883380243,0.04108938168659651,0.121457258956709,0.006117169929200608,non_overlapping,0.3211253941304875,0.47190452511188463,0.48221544715447157,0.5
semiconductor,20,ridge_decay_only,4123,1.0,0.34715267569500297,0.2724727847931276,0.3308550185873606,0.05686900958466454,0.016585670840109305,0.02538575533307697,0.04313179482060547,0.12126184687797593,0.0018601888127239184,non_overlapping,0.3233082706766917,0.4735,0.4811991869918699,0.5
semiconductor,20,ridge_decay_volume,4123,1.0,0.34009084064550504,0.2730783699157873,0.3227848101265823,0.06517571884984026,0.021549389961011325,0.026999400448097035,0.04099146037422114,0.12118726033176311,0.00714567743898262,non_overlapping,0.3225806451612903,0.47096774193548385,0.48221544715447157,0.5
software,5,logistic_decay_market,147123,1.0,0.3717768039392169,0.3630949443658888,0.4240205053094105,0.2576151687316038,0.007661301366083232,0.0024812648388087277,0.003840799698145367,,,overlapping,0.4162639424155299,0.4449095121524742,0.6329348113368884,1.0
