sample_count,coverage,event_rate,signal_rate,precision,recall,specificity,balanced_accuracy,roc_auc,pr_auc,brier_score,mean_mae_when_signaled,scope,horizon,regime_scope,sample_mode,specification,comparable_fold_count,fold_win_rate_vs_ridge_down
2373,1.0,0.4964180362410451,0.14454277286135694,0.5364431486880467,0.15619694397283532,0.8669456066945607,0.511571275333698,0.511571275333698,0.5026698364874358,0.4858828487147071,-0.07377962070120404,semiconductor,5,acute_selloff,overlapping,ridge_down,0,
12548,1.0,0.43560726809053235,0.13532036978004464,0.46466431095406363,0.14434687156970363,0.8716464275628354,0.5079966495662696,0.5079966495662696,0.4398015613249499,0.44517054510678994,-0.062910190690717,semiconductor,5,correction,overlapping,general_logistic_down,4,0.5
12548,1.0,0.43560726809053235,0.0,,0.0,1.0,0.5,0.5,0.43560726809053235,0.43560726809053235,,semiconductor,5,correction,overlapping,negative_baseline,4,0.25
12548,1.0,0.43560726809053235,0.5928434810328339,0.4950934265358247,0.6738016831320893,0.4696413442530359,0.5717215136925626,0.6098659444179743,0.5359198092734654,0.2532069861976015,-0.0661823793431457,semiconductor,5,correction,overlapping,pressure_downside_logistic_v1,4,0.75
12548,1.0,0.43560726809053235,0.19174370417596429,0.4600997506234414,0.20252469813391877,0.8165772380683423,0.5095509681011305,0.5095509681011305,0.44056760072206,0.45090851131654447,-0.05974809825526778,semiconductor,5,correction,overlapping,ridge_down,0,
17825,1.0,0.4044880785413745,0.23629733520336607,0.48504273504273504,0.28335644937586685,0.7956665096561469,0.5395114795160069,0.539511479516007,0.4273137599882926,0.4115568022440393,-0.06777588696165045,semiconductor,5,under_pressure,overlapping,general_logistic_down,4,0.75
17825,1.0,0.4044880785413745,0.0,,0.0,1.0,0.5,0.5,0.4044880785413745,0.4044880785413745,,semiconductor,5,under_pressure,overlapping,negative_baseline,4,0.75
17825,1.0,0.4044880785413745,0.5143899018232819,0.5050714363616534,0.6423023578363384,0.5724917569477155,0.6073970573920269,0.6529806367484318,0.5575981086729865,0.24155863648049788,-0.0679023350851317,semiconductor,5,under_pressure,overlapping,pressure_downside_logistic_v1,4,1.0
17825,1.0,0.4044880785413745,0.2123422159887798,0.3624834874504623,0.19029126213592232,0.7726801695713613,0.4814857158536418,0.4814857158536418,0.39649497188718147,0.4628892005610098,-0.050916980925244916,semiconductor,5,under_pressure,overlapping,ridge_down,0,
59918,1.0,0.39685904068894157,0.14157682165626356,0.4631616173523518,0.1652298246351823,0.8739865519245137,0.519608188279848,0.519608188279848,0.40781420380389755,0.40728996294936415,-0.06777556860678097,software,5,all_pressure,overlapping,general_logistic_down,4,0.75
59918,1.0,0.39685904068894157,0.0,,0.0,1.0,0.5,0.5,0.39685904068894157,0.39685904068894157,,software,5,all_pressure,overlapping,negative_baseline,4,1.0
59918,1.0,0.39685904068894157,0.485363329884175,0.536551818994567,0.6562092602716683,0.6270511082210355,0.6416301842463519,0.6930845875694636,0.584624290279847,0.2306458906988909,-0.07486600683938624,software,5,all_pressure,overlapping,pressure_downside_logistic_v1,4,1.0
59918,1.0,0.39685904068894157,0.22844554224106278,0.3334307422559907,0.19193405946423314,0.747530368853593,0.4697322141589131,0.4697322141589131,0.3846849898857964,0.47296304950098467,-0.04815486829851508,software,5,all_pressure,overlapping,ridge_down,0,
4152,1.0,0.4766377649325626,0.02432562620423892,0.6732673267326733,0.03436078827690753,0.9848136217211229,0.5095872049990152,0.5095872049990151,0.4833941116745573,0.4682080924855491,-0.13596335519798505,software,5,acute_selloff,overlapping,general_logistic_down,4,1.0
4152,1.0,0.4766377649325626,0.0,,0.0,1.0,0.5,0.5,0.4766377649325626,0.4766377649325626,,software,5,acute_selloff,overlapping,negative_baseline,4,0.75
4152,1.0,0.4766377649325626,0.6302986512524085,0.5055406954528086,0.6685194542698333,0.40450989415554534,0.5365146742126893,0.5704510801054887,0.5581694406536706,0.2744275887472795,-0.07562543488173483,software,5,acute_selloff,overlapping,pressure_downside_logistic_v1,4,1.0
