ticker,identity_panel,cik,link_status,decision_rule,reason_codes
SCMA,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
SEH,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
SGDE,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
SGFY,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
SGHL,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
SGMS,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
SHACU,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
SHG1,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
SHYF,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
SIR,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
SIVB,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
SLAM,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
SMACR,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
SMFR,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
SMMF,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
SNKTY,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
SPAR,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
SPFR,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
SPHA,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
SREV,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
SSNC1,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
SSNI,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
STZ-B,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
SUNL,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
SVFAU,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
SVGI,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
SVT,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
SWAY,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
SWRA,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
SYMM,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
SYUT,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
TCGIA,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
THCA,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
THOR1,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
TLCT,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
TTPH,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
TWCTW,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
TWFC,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
TWNK,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
TXM,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
TYDEV,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
TZPS,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
UBFO,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
UDG,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
VACQ,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
VBTX,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
VENT,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
VGII,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
VII,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
VIIAU,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
VISI,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
VLNS,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
VMCAW,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
VORBW,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
VRBA,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
VRNA,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
VVNT,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
VYGG,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
WCSTF,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
WIC,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
WLL,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
WNG1,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
WUBA,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
XBIOW,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
XBKS,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
YGMZ,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
ZLSSF,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
ZNH,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
ZYXI,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
